Date,Time,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximum_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
31-05-70,20:23:27,43,7.9,PERU,N. PERU,-9.2,-78.8,0.38,66794,50000,530,,
28-12-74,12:11:43,22,6.2,PAKISTAN,PAKISTAN,35.1,72.9,,5300,17000,3.255,,
04-02-76,9:01:43,5,7.5,GUATEMALA,GUATEMALA,15.324,-89.101,0.12,23000,76000,2147,,
16-08-76,16:11:07,33,8,PHILIPPINES,MORO GULF,6.292,124.09,9,8000,10000,134,,
10-10-80,12:25:23,10,7.7,ALGERIA,EL ASNAM,36.195,1.354,0.7,5000,9000,5200,250000,
19-09-85,13:17:47,28,8,MEXICO,MEXICO,18.19,-102.533,3,9500,30000,4000,,
12-12-92,5:29:26,28,7.8,INDONESIA,FLORES SEA,-8.48,121.896,26.2,2500,2103,100,31785,
16-01-95,20:46:52,22,6.9,JAPAN,"KOBE, JAPAN",34.583,135.018,0.34,5502,36896,100000,200000,
27-05-95,13:03:52,11,7.1,RUSSIA,SAKHALIN ISLAND,52.629,142.827,0.1,1989,750,300,,
17-07-98,8:49:16,25,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-2.943,142.582,15.03,1636,1000,,,
17-08-99,0:01:39,13,7.6,TURKEY,"KOCAELI, TURKEY",40.76,29.97,2.52,17118,50000,20000,,50000
21-05-03,18:44:20,12,6.8,ALGERIA,N. ALGERIA,36.964,3.634,3,2266,10261,5000,43000,
26-12-04,0:58:53,30,9.1,INDONESIA,OFF W. COAST OF SUMATRA,3.316,95.854,50.9,227899,,10000,,
28-03-05,16:09:36,30,8.7,INDONESIA,INDONESIA,2.085,97.108,4.2,1313,340,,300,
12-05-08,6:28:01,19,7.9,CHINA,SICHUAN PROVINCE,31.002,103.322,,87652,374171,86000,5360000,
