Date,Time,SameDayAs,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximun_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
31/05/1970,20:23:27,EQ007,43,7.9,PERU,N. PERU,-9.2,-78.8,0.38,66794,50000,530,,
28/12/1974,12:11:43,EQ012,22,6.2,PAKISTAN,PAKISTAN,35.1,72.9,,5300,17000,3.255,,
04/02/1976,09:01:43,EQ015,5,7.5,GUATEMALA,GUATEMALA,15.324,-89.101,0.12,23000,76000,2147,,
16/08/1976,16:11:07,EQ019,33,8,PHILIPPINES,MORO GULF,6.292,124.09,9,8000,10000,134,,
10/10/1980,12:25:23,EQ023,10,7.7,ALGERIA,EL ASNAM,36.195,1.354,0.7,5000,9000,5200,250000,
19/09/1985,13:17:47,EQ029,28,8,MEXICO,MEXICO,18.19,-102.533,3,9500,30000,4000,,
12/12/1992,05:29:26,EQ037,28,7.8,INDONESIA,FLORES SEA,-8.48,121.896,26.2,2500,2103,100,31785,
16/01/1995,20:46:52,EQ039,22,6.9,JAPAN,"KOBE, JAPAN",34.583,135.018,0.34,5502,36896,100000,200000,
27/05/1995,13:03:52,EQ040,11,7.1,RUSSIA,SAKHALIN ISLAND,52.629,142.827,0.1,1989,750,300,,
17/07/1998,08:49:16,EQ044,25,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-2.943,142.582,15.03,1636,1000,,,
17/08/1999,00:01:39,EQ046,13,7.6,TURKEY,"KOCAELI, TURKEY",40.76,29.97,2.52,17118,50000,20000,,50000
21/05/2003,18:44:20,EQ050,12,6.8,ALGERIA,N. ALGERIA,36.964,3.634,3,2266,10261,5000,43000,
26/12/2004,00:58:53,EQ052,30,9.1,INDONESIA,OFF W. COAST OF SUMATRA,3.316,95.854,50.9,227899,,10000,,
